record,RR_ms,BPM,QT_ms,QRS_dur_ms,Label
100,813.8888888888889,73.72013651877133,400.0,120,N
100,813.8888888888889,73.72013651877133,400.0,120,N
100,788.8888888888889,76.05633802816902,400.0,120,N
100,788.8888888888889,76.05633802816902,400.0,120,N
100,788.8888888888889,76.05633802816902,400.0,120,N
100,816.6666666666666,73.46938775510205,400.0,120,N
100,652.7777777777778,91.91489361702128,400.0,120,N
100,997.2222222222223,60.16713091922006,400.0,120,A
100,841.6666666666666,71.2871287128713,400.0,120,N
100,808.3333333333334,74.22680412371133,400.0,120,N
100,791.6666666666666,75.78947368421053,400.0,120,N
100,772.2222222222223,77.6978417266187,400.0,120,N
100,838.8888888888889,71.52317880794702,400.0,120,N
100,855.5555555555555,70.12987012987013,400.0,120,N
100,822.2222222222222,72.97297297297298,400.0,120,N
100,830.5555555555557,72.24080267558529,400.0,120,N
100,819.4444444444445,73.22033898305085,400.0,120,N
100,794.4444444444443,75.52447552447553,400.0,120,N
100,800.0,75.0,400.0,120,N
100,788.8888888888889,76.05633802816902,400.0,120,N
100,822.2222222222222,72.97297297297298,400.0,120,N
100,869.4444444444445,69.00958466453675,400.0,120,N
100,822.2222222222222,72.97297297297298,400.0,120,N
100,786.1111111111111,76.32508833922262,400.0,120,N
100,794.4444444444443,75.52447552447553,400.0,120,N
100,772.2222222222223,77.6978417266187,400.0,120,N
100,786.1111111111111,76.32508833922262,400.0,120,N
100,813.8888888888889,73.72013651877133,400.0,120,N
100,813.8888888888889,73.72013651877133,400.0,120,N
100,827.7777777777777,72.48322147651007,400.0,120,N
100,844.4444444444445,71.05263157894737,400.0,120,N
100,808.3333333333334,74.22680412371133,400.0,120,N
100,772.2222222222223,77.6978417266187,400.0,120,N
100,800.0,75.0,400.0,120,N
100,788.8888888888889,76.05633802816902,400.0,120,N
100,858.3333333333333,69.90291262135922,400.0,120,N
100,841.6666666666666,71.2871287128713,400.0,120,N
100,825.0,72.72727272727273,400.0,120,N
100,802.7777777777778,74.74048442906575,400.0,120,N
100,836.1111111111111,71.76079734219269,400.0,120,N
100,791.6666666666666,75.78947368421053,400.0,120,N
100,788.8888888888889,76.05633802816902,400.0,120,N
100,819.4444444444445,73.22033898305085,400.0,120,N
100,847.2222222222222,70.81967213114754,400.0,120,N
100,877.7777777777777,68.35443037974683,400.0,120,N
100,822.2222222222222,72.97297297297298,400.0,120,N
100,777.7777777777778,77.14285714285714,400.0,120,N
100,802.7777777777778,74.74048442906575,400.0,120,N
100,808.3333333333334,74.22680412371133,400.0,120,N
100,800.0,75.0,400.0,120,N
100,836.1111111111111,71.76079734219269,400.0,120,N
100,830.5555555555557,72.24080267558529,400.0,120,N
100,825.0,72.72727272727273,400.0,120,N
100,811.1111111111111,73.97260273972603,400.0,120,N
100,786.1111111111111,76.32508833922262,400.0,120,N
100,786.1111111111111,76.32508833922262,400.0,120,N
100,805.5555555555555,74.48275862068965,400.0,120,N
100,841.6666666666666,71.2871287128713,400.0,120,N
100,833.3333333333334,72.0,400.0,120,N
100,830.5555555555557,72.24080267558529,400.0,120,N
100,805.5555555555555,74.48275862068965,400.0,120,N
100,777.7777777777778,77.14285714285714,400.0,120,N
100,797.2222222222223,75.26132404181185,400.0,120,N
100,783.3333333333334,76.59574468085107,400.0,120,N
100,788.8888888888889,76.05633802816902,400.0,120,N
100,855.5555555555555,70.12987012987013,400.0,120,N
100,847.2222222222222,70.81967213114754,400.0,120,N
100,822.2222222222222,72.97297297297298,400.0,120,N
100,783.3333333333334,76.59574468085107,400.0,120,N
100,786.1111111111111,76.32508833922262,400.0,120,N
100,786.1111111111111,76.32508833922262,400.0,120,N
100,816.6666666666666,73.46938775510205,400.0,120,N
100,811.1111111111111,73.97260273972603,400.0,120,N
100,850.0,70.58823529411765,400.0,120,N
100,833.3333333333334,72.0,400.0,120,N
100,811.1111111111111,73.97260273972603,400.0,120,N
100,783.3333333333334,76.59574468085107,400.0,120,N
100,772.2222222222223,77.6978417266187,400.0,120,N
100,786.1111111111111,76.32508833922262,400.0,120,N
